Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781450931,25,,Aggregated,1.700000,0.000000,13000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,57,0,13000,12111.634919298429,2430.3798000000825,18336.97960000063,45831.42105263158
1781450932,25,,Aggregated,1.900000,0.000000,13000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,58,0,13000,12145.017400000144,2430.3798000000825,18336.97960000063,45647.224137931036
1781450933,25,,Aggregated,1.700000,0.000000,13000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,59,0,13000,12154.413740678077,2430.3798000000825,18336.97960000063,45423.8813559322
1781450934,25,,Aggregated,1.700000,0.000000,13000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,60,0,13000,12184.996236666788,2430.3798000000825,18336.97960000063,45242.03333333333
1781450935,25,,Aggregated,1.600000,0.000000,13000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,62,0,13000,12204.458427419484,2430.3798000000825,18336.97960000063,44154.24193548387
1781450936,25,,Aggregated,1.600000,0.000000,13000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,62,0,13000,12204.458427419484,2430.3798000000825,18336.97960000063,44154.24193548387
1781450937,25,,Aggregated,1.500000,0.000000,13000,15000,17000,18000,18000,18000,18000,18000,18000,18000,18000,65,0,13000,12307.39259538476,2430.3798000000825,18336.97960000063,42984.846153846156
1781450938,25,,Aggregated,1.500000,0.000000,13000,15000,17000,18000,18000,18000,18000,18000,18000,18000,18000,65,0,13000,12307.39259538476,2430.3798000000825,18336.97960000063,42984.846153846156
1781450939,25,,Aggregated,1.400000,0.000000,14000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,66,0,13000,12356.91113333346,2430.3798000000825,18336.97960000063,42851.545454545456
1781450940,25,,Aggregated,1.300000,0.000000,14000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,68,0,14000,12439.759055882487,2430.3798000000825,18336.97960000063,42080.19117647059
1781450941,25,,Aggregated,1.300000,0.000000,14000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,69,0,14000,12476.502449275493,2430.3798000000825,18336.97960000063,41942.02898550725
1781450942,25,,Aggregated,1.200000,0.000000,14000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,70,0,14000,12519.711408571522,2430.3798000000825,18336.97960000063,41835.514285714286
1781450943,25,,Aggregated,1.200000,0.000000,14000,16000,17000,17000,18000,18000,18000,18000,18000,18000,18000,71,0,14000,12565.165149295868,2430.3798000000825,18336.97960000063,41704.69014084507
1781450944,25,,Aggregated,1.200000,0.000000,14000,16000,17000,17000,18000,18000,18000,18000,18000,18000,18000,72,0,14000,12598.153623611226,2430.3798000000825,18336.97960000063,41577.59722222222
1781450945,25,,Aggregated,1.100000,0.000000,14000,16000,17000,17000,18000,18000,18000,18000,18000,18000,18000,74,0,14000,12687.42207702712,2430.3798000000825,18336.97960000063,41333.62162162162
1781450946,25,,Aggregated,1.300000,0.000000,14000,16000,17000,17000,18000,18000,18000,18000,18000,18000,18000,76,0,14000,12775.3636710527,2430.3798000000825,18336.97960000063,40676.81578947369
1781450947,25,,Aggregated,1.200000,0.000000,14000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,77,0,14000,12817.241855844239,2430.3798000000825,18336.97960000063,40570.23376623377
1781450948,25,,Aggregated,1.200000,0.000000,14000,16000,17000,17000,18000,18000,18000,18000,18000,18000,18000,80,0,14000,12952.98444000005,2430.3798000000825,18336.97960000063,39934.7125
1781450949,25,,Aggregated,1.200000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,82,0,14000,13002.638331707385,2430.3798000000825,18336.97960000063,38972.79268292683
1781450950,25,,Aggregated,1.300000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,84,0,15000,13064.491120238152,2430.3798000000825,18336.97960000063,38818.880952380954
1781450951,25,,Aggregated,1.300000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,84,0,15000,13064.491120238152,2430.3798000000825,18336.97960000063,38818.880952380954
1781450952,25,,Aggregated,1.600000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,86,0,15000,13130.256193023324,2430.3798000000825,18336.97960000063,38564.523255813954
1781450953,25,,Aggregated,1.600000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,86,0,15000,13130.256193023324,2430.3798000000825,18336.97960000063,38564.523255813954
1781450954,25,,Aggregated,1.500000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,87,0,15000,13171.972912643785,2430.3798000000825,18336.97960000063,38544.5632183908
1781450955,25,,Aggregated,1.600000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,91,0,15000,13261.35018021987,2430.3798000000825,18336.97960000063,37950.703296703294
1781450956,25,,Aggregated,1.400000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,92,0,15000,13264.677859782712,2430.3798000000825,18336.97960000063,37891.967391304344
1781450957,25,,Aggregated,1.400000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,92,0,15000,13264.677859782712,2430.3798000000825,18336.97960000063,37891.967391304344
1781450958,25,,Aggregated,1.600000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,93,0,15000,13282.664109677553,2430.3798000000825,18336.97960000063,37863.52688172043
1781450959,25,,Aggregated,1.600000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,95,0,15000,13333.309725263289,2430.3798000000825,18336.97960000063,37429.05263157895
1781450960,25,,Aggregated,1.600000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,95,0,15000,13333.309725263289,2430.3798000000825,18336.97960000063,37429.05263157895
1781450961,25,,Aggregated,1.100000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,96,0,15000,13365.906401041799,2430.3798000000825,18336.97960000063,37381.791666666664
1781450962,25,,Aggregated,1.100000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,97,0,15000,13396.450125773326,2430.3798000000825,18336.97960000063,37333.62886597938
1781450963,25,,Aggregated,1.100000,0.000000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,98,0,15000,13436.167016326644,2430.3798000000825,18336.97960000063,37301.11224489796
